"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko04920","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.813274570721206,"BH",0.844791260830462
"ko00930","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.462988637159119,"BH",0.545538044132114
"ko04112","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0124145634602033,"BH",0.0547369388927148
"ko05340","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.00901922118924541,"BH",0.0489740750371717
"ko00564","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.0228159241803527,"BH",0.0703475420221628
"ko00680","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.131879006747808,"BH",0.221511058953028
"ko00562","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.219075371953099,"BH",0.306863697898204
"ko03030","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.0273200229455958,"BH",0.0801888889790311
"ko00561","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.013383542733618,"BH",0.0549962004294695
"ko00440","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.0179281531156053,"BH",0.0623026921825086
"ko00250","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.0830694328881671,"BH",0.156460873595189
"ko00740","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.433682152108992,"BH",0.522573524901518
"ko04940","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.0621471607120247,"BH",0.126911043980345
"ko00010","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.00242214650384245,"BH",0.0452119292943344
"ko05412","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.176241818854607,"BH",0.263007021983029
"ko00195","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.0559349888981529,"BH",0.11924602028837
"ko03450","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.29654051253378,"BH",0.39268846028364
"ko00760","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.152971980897936,"BH",0.241272880440647
"ko00920","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.71181854014286,"BH",0.75875163070173
"ko00311","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.665423437087536,"BH",0.716392534432531
"ko00310","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.232996983675198,"BH",0.321718255039063
"ko04146","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.845555092066403,"BH",0.864198990431581
